species,population,heat_treatment,replicate,total_seeds,germinated_seeds,empty_seeds
CAL,2,95,I,24,22,
CAL,2,95,II,25,23,2
CAL,2,95,III,25,21,1
CAL,2,100,I,24,19,1
CAL,2,100,II,25,18,1
CAL,2,100,III,25,15,
CAL,2,105,I,25,12,
CAL,2,105,II,25,7,
CAL,2,105,III,25,9,
CAL,2,110,I,25,9,
CAL,2,110,II,25,12,
CAL,2,110,III,25,7,
CAL,2,115,I,25,8,
CAL,2,115,II,25,0,
CAL,2,115,III,25,10,
CAL,2,120,I,25,2,
CAL,2,120,II,25,2,
CAL,2,120,III,25,2,
CAL,3,30,I,25,8,
CAL,3,30,II,25,5,2
CAL,3,30,III,25,7,
CAL,3,35,I,25,5,
CAL,3,35,II,25,7,1
CAL,3,35,III,25,8,
CAL,3,40,I,25,8,
CAL,3,40,II,25,9,1
CAL,3,40,III,25,8,1
CAL,3,45,I,25,5,
CAL,3,45,II,25,8,1
CAL,3,45,III,25,8,
CAL,3,50,I,25,6,
CAL,3,50,II,25,3,1
CAL,3,50,III,25,5,2
CAL,3,55,I,25,9,2
CAL,3,55,II,25,6,3
CAL,3,55,III,25,7,2
CAL,3,60,I,25,6,2
CAL,3,60,II,25,12,
CAL,3,60,III,25,7,
CAL,3,65,I,25,9,1
CAL,3,65,II,25,8,1
CAL,3,65,III,25,17,
CAL,3,70,I,25,13,
CAL,3,70,II,25,11,1
CAL,3,70,III,25,13,
CAL,3,75,I,25,14,2
CAL,3,75,II,25,17,
CAL,3,75,III,25,22,
CAL,3,80,I,25,18,1
CAL,3,80,II,25,17,1
CAL,3,80,III,25,19,
CAL,3,85,I,25,21,1
CAL,3,85,II,25,20,1
CAL,3,85,III,25,17,2
CAL,3,90,I,25,17,1
CAL,3,90,II,25,19,2
CAL,3,90,III,25,16,2
CAL,3,95,I,25,19,1
CAL,3,95,II,25,22,
CAL,3,95,III,25,16,3
CAL,3,100,I,25,11,1
CAL,3,100,II,25,20,2
CAL,3,100,III,25,10,3
CAL,3,105,I,25,12,1
CAL,3,105,II,25,14,2
CAL,3,105,III,25,10,1
CAL,3,110,I,25,5,
CAL,3,110,II,25,9,
CAL,3,110,III,25,10,1
CAL,3,115,I,25,6,1
CAL,3,115,II,25,5,
CAL,3,115,III,25,6,2
CAL,3,120,I,25,1,
CAL,3,120,II,25,1,
CAL,3,120,III,25,3,1
CAL,4,30,I,25,8,
CAL,4,30,II,25,8,3
CAL,4,30,III,25,11,4
CAL,4,35,I,25,7,
CAL,4,35,II,25,9,4
CAL,4,35,III,25,12,
CAL,4,40,I,25,10,
CAL,4,40,II,25,9,1
CAL,4,40,III,25,10,
CAL,4,45,I,25,12,
CAL,4,45,II,25,8,2
CAL,4,45,III,25,10,3
CAL,4,50,I,25,13,
CAL,4,50,II,25,5,
CAL,4,50,III,25,11,2
CAL,4,55,I,25,8,
CAL,4,55,II,25,7,
CAL,4,55,III,25,9,
CAL,4,60,I,25,12,1
CAL,4,60,II,25,12,1
CAL,4,60,III,25,12,2
CAL,4,65,I,25,12,1
CAL,4,65,II,25,10,1
CAL,4,65,III,25,12,1
CAL,4,70,I,25,19,
CAL,4,70,II,25,16,
CAL,4,70,III,25,15,
CAL,4,75,I,25,20,1
CAL,4,75,II,25,12,2
CAL,4,75,III,25,14,
CAL,4,80,I,25,17,
CAL,4,80,II,25,15,2
CAL,4,80,III,23,15,2
CAL,4,85,I,25,19,3
CAL,4,85,II,25,22,3
CAL,4,85,III,25,18,3
CAL,4,90,I,25,12,5
CAL,4,90,II,25,14,3
CAL,4,90,III,25,19,3
CAL,4,95,I,25,17,3
CAL,4,95,II,25,13,3
CAL,4,95,III,25,13,
CAL,4,100,I,25,7,4
CAL,4,100,II,25,11,3
CAL,4,100,III,25,8,
CAL,4,105,I,25,2,
CAL,4,105,II,25,4,
CAL,4,105,III,25,3,
CAL,4,110,I,25,1,
CAL,4,110,II,25,3,
CAL,4,110,III,25,0,
CAL,4,115,I,25,0,
CAL,4,115,II,25,1,
CAL,4,115,III,25,0,
CAL,4,120,I,25,0,
CAL,4,120,II,25,0,
CAL,4,120,III,25,0,
CAL,5,30,I,25,2,
CAL,5,30,II,25,5,
CAL,5,30,III,25,6,
CAL,5,35,I,25,4,
CAL,5,35,II,25,5,
CAL,5,35,III,25,10,1
CAL,5,40,I,25,4,
CAL,5,40,II,25,5,
CAL,5,40,III,25,3,
CAL,5,45,I,25,9,
CAL,5,45,II,25,6,
CAL,5,45,III,25,3,
CAL,5,50,I,25,9,
CAL,5,50,II,25,5,
CAL,5,50,III,25,5,
CAL,5,55,I,24,3,
CAL,5,55,II,25,7,
CAL,5,55,III,25,7,1
CAL,5,60,I,25,2,
CAL,5,60,II,25,8,
CAL,5,60,III,25,11,
CAL,5,65,I,25,12,
CAL,5,65,II,25,13,2
CAL,5,65,III,25,11,
CAL,5,70,I,25,17,1
CAL,5,70,II,25,19,
CAL,5,70,III,25,14,
CAL,5,75,I,25,20,
CAL,5,75,II,25,12,2
CAL,5,75,III,25,20,
CAL,5,80,I,25,19,
CAL,5,80,II,25,15,2
CAL,5,80,III,25,21,2
CAL,5,85,I,25,18,
CAL,5,85,II,25,15,1
CAL,5,85,III,25,18,
CAL,5,90,I,25,21,
CAL,5,90,II,25,14,2
CAL,5,90,III,25,15,
CAL,5,95,I,25,19,1
CAL,5,95,II,25,20,1
CAL,5,95,III,25,19,1
CAL,5,100,I,25,9,1
CAL,5,100,II,25,18,2
CAL,5,100,III,25,19,1
CAL,5,105,I,25,9,2
CAL,5,105,II,25,11,5
CAL,5,105,III,25,5,
CAL,5,110,I,25,6,
CAL,5,110,II,25,5,
CAL,5,110,III,25,5,
CAL,5,115,I,25,2,2
CAL,5,115,II,25,1,
